DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
154971,0.2719,0.4873,-36.0093,-0.0067,0.0084,0.2510,0
155138,0.2730,0.4874,-36.0088,-0.0122,0.0102,0.2586,0
155305,0.2730,0.4880,-36.0089,-0.0036,0.0080,0.2349,0
155471,0.2733,0.4877,-36.0090,-0.0057,0.0061,0.2421,0
155638,0.2743,0.4851,-36.0096,-0.0156,0.0055,0.2304,0
155805,0.2745,0.4843,-36.0103,-0.0137,0.0031,0.2203,0
155971,0.2744,0.4843,-36.0115,0.0014,0.0011,0.2419,0
156138,0.2743,0.4841,-36.0135,-0.0036,0.0030,0.2224,0
156305,0.2745,0.4830,-36.0143,0.0053,0.0121,0.2414,0
156471,0.2745,0.4829,-36.0151,0.0021,0.0103,0.2332,0
156638,0.2750,0.4821,-36.0171,0.0001,-0.0028,0.2243,0
156805,0.2736,0.4823,-36.0189,-0.0013,0.0078,0.2318,0
156971,0.2745,0.4820,-36.0190,-0.0042,0.0047,0.2586,0
157138,0.2743,0.4807,-36.0195,-0.0032,-0.0012,0.2393,0
157305,0.2746,0.4794,-36.0197,-0.0045,0.0042,0.2357,0
157471,0.2742,0.4791,-36.0211,-0.0235,0.0009,0.2374,0
157638,0.2738,0.4791,-36.0221,-0.0036,-0.0077,0.2386,0
157805,0.2730,0.4780,-36.0216,-0.0175,0.0104,0.2362,0
157971,0.2731,0.4774,-36.0227,-0.0042,0.0077,0.2541,0
158138,0.2737,0.4774,-36.0239,0.0004,0.0032,0.2404,0
158305,0.2746,0.4774,-36.0250,-0.0077,-0.0013,0.2401,0
158471,0.2747,0.4763,-36.0251,-0.0106,0.0053,0.2248,0
158638,0.2745,0.4768,-36.0253,-0.0054,-0.0026,0.2168,0
158805,0.2748,0.4761,-36.0273,-0.0053,-0.0092,0.2386,0
158971,0.2746,0.4760,-36.0277,-0.0004,-0.0036,0.2265,0
159138,0.2748,0.4770,-36.0274,-0.0006,-0.0042,0.2245,0
159305,0.2746,0.4768,-36.0280,-0.0110,-0.0027,0.2312,0
159471,0.2754,0.4761,-36.0286,-0.0081,0.0115,0.2346,0
159638,0.2751,0.4760,-36.0284,0.0014,-0.0005,0.2452,0
159805,0.2759,0.4750,-36.0300,-0.0049,-0.0011,0.2370,0
159971,0.2758,0.4761,-36.0304,-0.0023,0.0156,0.2445,0
160138,0.2755,0.4753,-36.0307,-0.0106,0.0039,0.2367,0
160305,0.2753,0.4731,-36.0313,-0.0204,0.0151,0.2327,0
160471,0.2754,0.4729,-36.0313,-0.0103,0.0042,0.2310,0
160638,0.2759,0.4739,-36.0314,-0.0138,0.0134,0.2290,0
160805,0.2768,0.4743,-36.0305,-0.0069,0.0119,0.2380,0
160971,0.2761,0.4733,-36.0320,0.0019,-0.0136,0.2272,0
161138,0.2746,0.4741,-36.0335,-0.0066,0.0116,0.2269,0
161305,0.2741,0.4721,-36.0333,0.0003,-0.0066,0.2486,0
161471,0.2741,0.4717,-36.0333,0.0047,0.0117,0.2393,0
161638,0.2747,0.4718,-36.0348,-0.0014,0.0134,0.2434,0
161805,0.2744,0.4715,-36.0353,-0.0038,0.0105,0.2166,0
161971,0.2750,0.4725,-36.0364,-0.0063,-0.0022,0.2572,0
162138,0.2752,0.4723,-36.0362,-0.0180,-0.0044,0.2260,0
162305,0.2739,0.4731,-36.0378,0.0004,0.0026,0.2388,0
162471,0.2727,0.4729,-36.0378,-0.0134,-0.0054,0.2317,0
162638,0.2721,0.4731,-36.0380,-0.0029,0.0015,0.2329,0
162805,0.2738,0.4731,-36.0384,-0.0042,0.0107,0.2278,0
162971,0.2747,0.4731,-36.0389,-0.0128,0.0083,0.2258,0
