DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
200319,0.9688,0.0016,-0.0008,0.2477,0.0088,-0.0028,0.2270
200485,0.9688,0.0016,-0.0008,0.2477,-0.0043,0.0109,0.2458
200652,0.9688,0.0016,-0.0008,0.2477,0.0129,-0.0013,0.2627
200819,0.9688,0.0016,-0.0008,0.2477,-0.0053,-0.0054,0.2203
200985,0.9688,0.0016,-0.0008,0.2477,0.0004,0.0072,0.2398
201152,0.9688,0.0016,-0.0008,0.2477,-0.0231,-0.0187,0.2657
201319,0.9688,0.0016,-0.0008,0.2477,-0.0029,-0.0057,0.2319
201485,0.9688,0.0016,-0.0008,0.2477,-0.0086,-0.0206,0.2343
201652,0.9688,0.0016,-0.0008,0.2477,-0.0153,-0.0052,0.2320
201819,0.9688,0.0016,-0.0008,0.2477,0.0086,-0.0053,0.2424
201985,0.9688,0.0016,-0.0008,0.2477,0.0089,-0.0104,0.2415
202152,0.9688,0.0016,-0.0008,0.2477,0.0084,0.0097,0.2171
202319,0.9688,0.0016,-0.0008,0.2477,-0.0011,-0.0028,0.2728
202485,0.9688,0.0016,-0.0008,0.2478,-0.0064,-0.0006,0.2311
202652,0.9688,0.0016,-0.0008,0.2478,0.0101,0.0025,0.2354
202819,0.9688,0.0016,-0.0008,0.2478,0.0135,-0.0111,0.2674
202985,0.9688,0.0016,-0.0008,0.2478,-0.0001,-0.0088,0.2294
203152,0.9688,0.0016,-0.0008,0.2478,0.0083,-0.0045,0.2487
203319,0.9688,0.0016,-0.0008,0.2478,0.0078,0.0066,0.2637
203486,0.9688,0.0016,-0.0008,0.2478,-0.0046,0.0112,0.2419
203652,0.9688,0.0016,-0.0008,0.2477,0.0046,0.0135,0.2483
203819,0.9688,0.0016,-0.0008,0.2478,0.0098,-0.0020,0.2245
203986,0.9688,0.0016,-0.0008,0.2478,0.0105,-0.0249,0.2196
204152,0.9688,0.0016,-0.0008,0.2478,-0.0104,-0.0000,0.2495
