DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Orientation (Quaternion),StartTime: 2025-12-02 14:16:29.728,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
6685047,1.0000,0.0010,-0.0011,-0.0005
6685213,1.0000,0.0010,-0.0011,-0.0005
6685380,1.0000,0.0010,-0.0011,-0.0005
6685547,1.0000,0.0010,-0.0011,-0.0005
6685713,1.0000,0.0010,-0.0011,-0.0005
6685880,1.0000,0.0010,-0.0011,-0.0005
6686047,1.0000,0.0010,-0.0011,-0.0005
6686213,1.0000,0.0010,-0.0011,-0.0005
6686380,1.0000,0.0010,-0.0011,-0.0005
6686547,1.0000,0.0010,-0.0011,-0.0005
6686713,1.0000,0.0010,-0.0011,-0.0005
6686880,1.0000,0.0011,-0.0011,-0.0005
6687047,1.0000,0.0011,-0.0011,-0.0005
6687213,1.0000,0.0011,-0.0011,-0.0005
6687380,1.0000,0.0011,-0.0011,-0.0005
6687547,1.0000,0.0011,-0.0011,-0.0005
6687713,1.0000,0.0011,-0.0011,-0.0005
6687880,1.0000,0.0011,-0.0011,-0.0005
6688047,1.0000,0.0011,-0.0011,-0.0005
6688213,1.0000,0.0011,-0.0011,-0.0005
6688380,1.0000,0.0011,-0.0011,-0.0005
6688547,1.0000,0.0011,-0.0011,-0.0005
6688713,1.0000,0.0011,-0.0011,-0.0005
6688880,1.0000,0.0011,-0.0011,-0.0005
6689047,1.0000,0.0011,-0.0011,-0.0005
6689213,1.0000,0.0011,-0.0011,-0.0005
6689380,1.0000,0.0011,-0.0011,-0.0005
6689547,1.0000,0.0011,-0.0011,-0.0005
6689713,1.0000,0.0011,-0.0011,-0.0005
6689880,1.0000,0.0011,-0.0011,-0.0005
6690047,1.0000,0.0011,-0.0011,-0.0005
6690213,1.0000,0.0011,-0.0011,-0.0005
6690380,1.0000,0.0011,-0.0011,-0.0005
6690547,1.0000,0.0011,-0.0011,-0.0005
6690713,1.0000,0.0011,-0.0011,-0.0005
6690880,1.0000,0.0011,-0.0011,-0.0005
6691047,1.0000,0.0010,-0.0011,-0.0005
6691213,1.0000,0.0010,-0.0011,-0.0005
6691380,1.0000,0.0010,-0.0011,-0.0005
6691547,1.0000,0.0010,-0.0012,-0.0005
6691713,1.0000,0.0010,-0.0012,-0.0005
6691880,1.0000,0.0010,-0.0011,-0.0005
6692047,1.0000,0.0010,-0.0011,-0.0005
6692213,1.0000,0.0010,-0.0012,-0.0005
6692380,1.0000,0.0010,-0.0012,-0.0005
6692547,1.0000,0.0010,-0.0012,-0.0006
6692714,1.0000,0.0010,-0.0012,-0.0006
6692880,1.0000,0.0010,-0.0012,-0.0006
6693047,1.0000,0.0010,-0.0012,-0.0006
6693214,1.0000,0.0010,-0.0012,-0.0006
6693380,1.0000,0.0010,-0.0011,-0.0006
6693547,1.0000,0.0010,-0.0012,-0.0006
6693714,1.0000,0.0010,-0.0011,-0.0006
6693880,1.0000,0.0010,-0.0011,-0.0006
6694047,1.0000,0.0010,-0.0012,-0.0006
6694214,1.0000,0.0010,-0.0011,-0.0006
6694380,1.0000,0.0010,-0.0011,-0.0006
6694547,1.0000,0.0010,-0.0012,-0.0006
6694714,1.0000,0.0010,-0.0012,-0.0006
6694880,1.0000,0.0010,-0.0012,-0.0006
6695047,1.0000,0.0010,-0.0012,-0.0006
6695214,1.0000,0.0010,-0.0012,-0.0007
6695380,1.0000,0.0010,-0.0012,-0.0007
6695547,1.0000,0.0010,-0.0012,-0.0007
6695714,1.0000,0.0010,-0.0012,-0.0007
6695880,1.0000,0.0010,-0.0012,-0.0007
6696047,1.0000,0.0010,-0.0012,-0.0006
6696214,1.0000,0.0010,-0.0012,-0.0007
6696380,1.0000,0.0010,-0.0012,-0.0007
6696547,1.0000,0.0010,-0.0012,-0.0007
6696714,1.0000,0.0010,-0.0012,-0.0007
6696880,1.0000,0.0010,-0.0012,-0.0007
