DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2025-12-02 16:02:11.979,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
6270364,-1.9773,0.8879,-0.6215,0.9939,0.0003,-0.0030,0.1103,-0.0092,-0.3498,12.6633,0.0107,-0.0087,0.2226
6270531,-1.9945,0.8763,-0.6092,0.9939,0.0003,-0.0030,0.1103,-0.0100,-0.3504,12.6624,-0.0024,-0.0076,0.2358
6270697,-1.8247,0.8826,-0.6910,0.9939,0.0003,-0.0031,0.1103,-0.0080,-0.3508,12.6617,0.0037,0.0020,0.2496
6270864,-1.9713,0.9865,-0.6599,0.9939,0.0003,-0.0030,0.1102,-0.0084,-0.3495,12.6595,0.0040,-0.0006,0.2377
6271031,-1.9492,0.8647,-0.6582,0.9939,0.0003,-0.0030,0.1102,-0.0085,-0.3502,12.6589,0.0046,-0.0133,0.2358
6271197,-2.0093,0.9235,-0.5710,0.9939,0.0003,-0.0030,0.1103,-0.0096,-0.3500,12.6605,0.0125,0.0025,0.2121
6271364,-1.9579,0.8779,-0.6308,0.9939,0.0003,-0.0030,0.1102,-0.0098,-0.3505,12.6588,-0.0019,0.0030,0.2690
6271531,-1.9233,0.8904,-0.5281,0.9939,0.0003,-0.0031,0.1102,-0.0095,-0.3508,12.6594,0.0003,-0.0039,0.2460
6271697,-1.8814,0.9856,-0.6146,0.9939,0.0003,-0.0030,0.1102,-0.0084,-0.3495,12.6592,-0.0009,0.0080,0.2484
6271864,-1.9156,0.8005,-0.5521,0.9939,0.0003,-0.0031,0.1102,-0.0079,-0.3513,12.6590,0.0045,-0.0147,0.2517
6272031,-1.9609,0.8711,-0.6025,0.9939,0.0003,-0.0031,0.1102,-0.0082,-0.3519,12.6585,0.0032,-0.0044,0.2315
6272197,-1.9064,0.9697,-0.5820,0.9939,0.0003,-0.0031,0.1102,-0.0076,-0.3509,12.6585,-0.0011,-0.0022,0.2374
6272364,-1.9806,0.8941,-0.6432,0.9939,0.0003,-0.0031,0.1102,-0.0082,-0.3511,12.6584,-0.0046,-0.0147,0.2248
6272531,-1.8841,0.9795,-0.6380,0.9939,0.0003,-0.0030,0.1102,-0.0073,-0.3499,12.6579,-0.0030,-0.0022,0.2210
6272697,-1.9415,0.9136,-0.5967,0.9939,0.0003,-0.0030,0.1102,-0.0072,-0.3498,12.6581,-0.0129,-0.0012,0.2405
6272864,-1.9420,0.9176,-0.6668,0.9939,0.0003,-0.0030,0.1102,-0.0072,-0.3497,12.6577,-0.0004,-0.0078,0.2417
6273031,-1.9866,0.8772,-0.5005,0.9939,0.0003,-0.0030,0.1103,-0.0080,-0.3502,12.6603,0.0136,0.0130,0.2331
6273197,-1.8939,0.9216,-0.5740,0.9939,0.0003,-0.0030,0.1103,-0.0072,-0.3499,12.6604,0.0230,0.0020,0.2432
6273364,-1.9960,0.8713,-0.6197,0.9939,0.0003,-0.0030,0.1103,-0.0081,-0.3505,12.6601,-0.0028,0.0029,0.2306
6273531,-1.9872,0.8642,-0.6304,0.9939,0.0003,-0.0031,0.1103,-0.0088,-0.3513,12.6596,-0.0030,-0.0065,0.2304
6273697,-1.9321,0.8995,-0.5646,0.9939,0.0003,-0.0031,0.1103,-0.0086,-0.3514,12.6601,-0.0167,0.0051,0.2555
6273864,-1.9072,0.9640,-0.5369,0.9939,0.0003,-0.0030,0.1103,-0.0080,-0.3505,12.6610,-0.0119,0.0095,0.2500
6274031,-1.9352,0.8270,-0.6333,0.9939,0.0003,-0.0031,0.1103,-0.0079,-0.3518,12.6596,0.0014,-0.0001,0.2475
6274197,-1.9019,0.9365,-0.6026,0.9939,0.0003,-0.0031,0.1102,-0.0072,-0.3513,12.6594,-0.0032,0.0015,0.2396
6274364,-1.9281,0.8840,-0.5858,0.9939,0.0003,-0.0031,0.1103,-0.0070,-0.3517,12.6603,0.0023,0.0064,0.2454
6274531,-1.8939,0.9330,-0.5252,0.9939,0.0003,-0.0031,0.1103,-0.0062,-0.3512,12.6609,-0.0013,-0.0149,0.2327
6274697,-1.8506,0.9578,-0.5885,0.9939,0.0003,-0.0030,0.1103,-0.0047,-0.3504,12.6603,-0.0040,-0.0023,0.2422
6274864,-1.9078,0.9527,-0.5335,0.9939,0.0003,-0.0030,0.1103,-0.0041,-0.3496,12.6606,0.0006,-0.0059,0.2567
6275031,-1.9390,0.9477,-0.5413,0.9939,0.0003,-0.0030,0.1103,-0.0041,-0.3489,12.6611,-0.0064,-0.0248,0.2363
6275197,-1.9430,0.8544,-0.6219,0.9939,0.0003,-0.0030,0.1103,-0.0041,-0.3498,12.6606,0.0008,-0.0108,0.2592
6275364,-1.9608,0.9350,-0.5740,0.9939,0.0003,-0.0030,0.1103,-0.0044,-0.3493,12.6613,0.0016,-0.0021,0.2259
6275531,-1.9499,0.9132,-0.6046,0.9939,0.0003,-0.0030,0.1103,-0.0046,-0.3492,12.6614,0.0013,0.0011,0.2333
6275697,-1.9369,0.8916,-0.5851,0.9939,0.0003,-0.0030,0.1103,-0.0045,-0.3495,12.6603,0.0090,0.0017,0.2422
6275864,-1.9130,0.9883,-0.5592,0.9939,0.0003,-0.0030,0.1103,-0.0040,-0.3481,12.6609,-0.0067,-0.0020,0.2452
