DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2661771,0.0330,0.0110,10.0645,-1.8507,0.8236,-0.6149,0.5908,0.8889,0.5510
2661938,0.0274,0.0186,10.0381,-1.9446,0.8960,-0.6319,0.5898,0.8938,0.5481
2662104,0.0216,0.0098,10.0554,-1.8442,1.0049,-0.5917,0.5894,0.8918,0.5520
2662271,0.0344,0.0217,10.0402,-1.9470,0.8945,-0.5954,0.5889,0.8894,0.5525
2662438,0.0306,0.0313,10.0605,-1.9154,0.9080,-0.6336,0.5918,0.8938,0.5486
2662604,0.0113,0.0074,10.0537,-1.9030,0.9212,-0.6712,0.5913,0.8894,0.5500
2662771,0.0307,0.0345,10.0466,-1.9437,0.9019,-0.5973,0.5903,0.8899,0.5510
2662938,0.0190,0.0121,10.0404,-1.9170,0.8920,-0.5434,0.5928,0.8904,0.5471
2663104,0.0193,0.0211,10.0375,-1.8917,0.8697,-0.5779,0.5908,0.8918,0.5481
2663271,0.0271,0.0259,10.0404,-1.9418,0.9147,-0.6305,0.5903,0.8914,0.5486
2663438,0.0307,0.0212,10.0490,-1.9250,0.8599,-0.6192,0.5889,0.8889,0.5500
2663604,0.0224,0.0052,10.0447,-1.9355,0.9532,-0.6322,0.5884,0.8894,0.5515
2663771,0.0241,0.0197,10.0367,-1.8959,0.8876,-0.6121,0.5889,0.8894,0.5520
2663938,0.0276,0.0219,10.0530,-1.9106,0.8803,-0.5661,0.5889,0.8909,0.5500
2664104,0.0291,0.0349,10.0661,-1.9176,0.8757,-0.6595,0.5908,0.8918,0.5491
2664271,0.0293,0.0182,10.0735,-1.9412,0.8804,-0.6176,0.5928,0.8909,0.5500
2664438,0.0129,0.0304,10.0387,-1.8391,0.8423,-0.5508,0.5884,0.8923,0.5520
2664605,0.0241,0.0285,10.0562,-1.9676,0.9739,-0.6255,0.5908,0.8894,0.5515
2664771,0.0102,0.0180,10.0408,-1.9306,0.8956,-0.6813,0.5884,0.8904,0.5476
2664938,0.0235,0.0197,10.0455,-1.9419,0.9157,-0.5909,0.5928,0.8909,0.5432
2665105,0.0289,0.0133,10.0572,-1.9899,0.8990,-0.5869,0.5918,0.8918,0.5481
2665271,0.0295,0.0259,10.0698,-1.9077,0.9640,-0.5888,0.5903,0.8933,0.5486
2665438,0.0268,0.0199,10.0464,-1.9169,0.9618,-0.6157,0.5928,0.8884,0.5491
2665605,0.0250,0.0204,10.0645,-1.8548,0.8960,-0.6144,0.5898,0.8958,0.5520
2665771,0.0251,0.0280,10.0549,-1.8857,0.8575,-0.6521,0.5918,0.8943,0.5500
2665938,0.0180,0.0351,10.0428,-1.9118,0.9221,-0.6980,0.5918,0.8894,0.5491
2666105,0.0089,0.0093,10.0619,-1.8923,0.9353,-0.5633,0.5864,0.8923,0.5544
2666271,0.0154,0.0228,10.0704,-1.9733,0.9422,-0.6599,0.5894,0.8899,0.5461
2666438,0.0203,0.0233,10.0405,-1.9268,0.9131,-0.6363,0.5908,0.8914,0.5515
2666605,0.0216,0.0012,10.0797,-1.8707,0.9172,-0.6509,0.5884,0.8923,0.5505
2666771,0.0185,0.0128,10.0513,-1.9163,0.9411,-0.6456,0.5908,0.8914,0.5520
2666938,0.0328,0.0350,10.0479,-1.8867,0.9901,-0.6189,0.5898,0.8870,0.5510
2667105,0.0290,0.0164,10.0465,-1.9462,0.8463,-0.5764,0.5913,0.8914,0.5481
2667271,0.0361,0.0258,10.0337,-1.8973,0.9293,-0.6447,0.5938,0.8909,0.5500
2667438,0.0309,0.0206,10.0463,-1.8984,0.8414,-0.6092,0.5933,0.8914,0.5496
2667605,0.0231,0.0335,10.0494,-1.9651,0.9497,-0.6371,0.5884,0.8899,0.5525
2667771,0.0309,0.0321,10.0788,-1.8952,0.9639,-0.6136,0.5923,0.8938,0.5510
2667938,0.0265,0.0277,10.0291,-1.9480,0.9217,-0.6230,0.5898,0.8870,0.5505
2668105,0.0302,0.0277,10.0659,-1.9276,0.8628,-0.6849,0.5938,0.8909,0.5496
2668271,0.0299,0.0205,10.0681,-1.9412,0.8345,-0.6186,0.5918,0.8894,0.5505
2668438,0.0271,0.0242,10.0606,-1.8812,0.8664,-0.5448,0.5869,0.8918,0.5515
2668605,0.0318,0.0187,10.0550,-1.8821,0.9289,-0.6124,0.5928,0.8899,0.5515
2668771,0.0099,0.0269,10.0513,-1.9334,0.9147,-0.7005,0.5928,0.8894,0.5500
2668938,0.0280,0.0131,10.0635,-1.9863,0.9268,-0.5657,0.5869,0.8904,0.5491
2669105,0.0273,0.0072,10.0480,-1.9086,0.8773,-0.6543,0.5884,0.8899,0.5515
2669271,0.0246,0.0286,10.0569,-1.9243,0.8486,-0.6043,0.5898,0.8923,0.5540
2669438,0.0190,0.0312,10.0581,-1.8337,0.8324,-0.6104,0.5884,0.8904,0.5540
2669605,0.0293,0.0123,10.0589,-1.8419,0.8506,-0.6233,0.5923,0.8884,0.5525
2669771,0.0188,0.0067,10.0424,-1.9168,0.9338,-0.5935,0.5947,0.8923,0.5471
2669938,0.0214,0.0279,10.0489,-1.8982,0.8897,-0.5469,0.5928,0.8904,0.5535
2670105,0.0206,0.0271,10.0533,-1.9189,0.8920,-0.5791,0.5908,0.8904,0.5559
2670271,0.0206,0.0232,10.0680,-1.9202,0.8912,-0.6290,0.5918,0.8909,0.5525
2670438,0.0260,0.0185,10.0397,-2.0087,0.9942,-0.6180,0.5947,0.8877,0.5549
2670605,0.0191,0.0306,10.0482,-1.9230,0.9277,-0.6376,0.5874,0.8918,0.5520
2670771,0.0130,0.0150,10.0517,-1.8913,0.8739,-0.6291,0.5903,0.8894,0.5579
2670938,0.0249,0.0204,10.0660,-1.9307,0.8128,-0.6492,0.5874,0.8909,0.5530
2671105,0.0198,0.0194,10.0412,-1.9451,0.8815,-0.7088,0.5903,0.8865,0.5520
2671271,0.0269,0.0207,10.0510,-1.9484,0.9162,-0.5742,0.5898,0.8889,0.5540
2671438,0.0298,0.0144,10.0615,-1.9056,0.9038,-0.6053,0.5898,0.8909,0.5520
2671605,0.0210,0.0310,10.0463,-1.9275,0.8464,-0.5626,0.5894,0.8923,0.5564
2671771,0.0257,0.0071,10.0337,-1.9477,0.8932,-0.5607,0.5923,0.8875,0.5535
2671938,0.0283,0.0240,10.0860,-1.8925,0.9483,-0.5493,0.5913,0.8918,0.5471
2672105,0.0270,0.0339,10.0527,-1.9676,0.9231,-0.5813,0.5933,0.8909,0.5510
2672271,0.0265,0.0191,10.0702,-1.9283,0.8085,-0.5936,0.5889,0.8923,0.5510
2672438,0.0154,0.0268,10.0500,-1.8965,0.8384,-0.6133,0.5898,0.8928,0.5520
2672605,0.0191,0.0179,10.0322,-1.9972,0.8517,-0.6310,0.5874,0.8879,0.5496
2672771,0.0285,0.0194,10.0581,-1.9222,0.9289,-0.6541,0.5938,0.8899,0.5510
