DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4266753,0.9746,-0.0064,0.0042,-0.2238,-0.0050,-0.0062,0.0142,0
4266920,0.9746,-0.0064,0.0042,-0.2238,-0.0067,-0.0099,-0.0013,0
4267087,0.9746,-0.0064,0.0042,-0.2238,0.0029,0.0071,-0.0095,0
4267253,0.9746,-0.0064,0.0042,-0.2238,0.0007,0.0049,0.0144,0
4267420,0.9746,-0.0064,0.0042,-0.2238,0.0077,0.0021,0.0358,0
4267587,0.9746,-0.0064,0.0043,-0.2238,0.0058,0.0014,0.0181,0
4267753,0.9746,-0.0064,0.0043,-0.2238,-0.0166,-0.0077,-0.0073,0
4267920,0.9746,-0.0064,0.0042,-0.2238,0.0056,-0.0078,0.0212,0
4268087,0.9746,-0.0064,0.0043,-0.2238,-0.0020,-0.0128,-0.0101,0
4268253,0.9746,-0.0064,0.0043,-0.2238,0.0045,-0.0133,0.0094,0
4268420,0.9746,-0.0064,0.0042,-0.2239,-0.0004,0.0063,0.0073,0
4268587,0.9746,-0.0065,0.0043,-0.2239,0.0022,0.0016,0.0061,0
4268753,0.9746,-0.0065,0.0043,-0.2239,0.0091,-0.0077,0.0134,0
4268920,0.9746,-0.0065,0.0043,-0.2239,0.0133,-0.0092,0.0208,0
4269087,0.9746,-0.0065,0.0043,-0.2239,0.0024,-0.0038,0.0097,0
4269253,0.9746,-0.0065,0.0043,-0.2239,-0.0054,0.0070,0.0232,0
4269420,0.9746,-0.0065,0.0043,-0.2239,-0.0001,0.0024,0.0010,0
4269587,0.9746,-0.0065,0.0043,-0.2239,0.0061,0.0046,-0.0096,0
4269753,0.9746,-0.0065,0.0043,-0.2239,0.0060,0.0107,0.0108,0
4269920,0.9746,-0.0065,0.0043,-0.2239,0.0011,0.0168,0.0305,0
4270087,0.9746,-0.0065,0.0043,-0.2239,0.0194,-0.0107,-0.0040,0
4270253,0.9746,-0.0065,0.0043,-0.2239,0.0019,-0.0065,0.0171,0
4270420,0.9746,-0.0065,0.0043,-0.2239,0.0069,0.0007,0.0217,0
4270587,0.9746,-0.0065,0.0043,-0.2239,0.0106,-0.0115,0.0001,0
4270753,0.9746,-0.0065,0.0043,-0.2239,-0.0036,-0.0077,0.0129,0
4270920,0.9746,-0.0065,0.0043,-0.2239,0.0017,-0.0009,0.0178,0
4271087,0.9746,-0.0065,0.0043,-0.2239,-0.0039,-0.0124,0.0069,0
4271253,0.9746,-0.0065,0.0043,-0.2239,0.0068,0.0001,0.0176,0
4271420,0.9746,-0.0065,0.0043,-0.2239,0.0017,0.0020,0.0017,0
4271587,0.9746,-0.0065,0.0043,-0.2239,-0.0076,0.0169,-0.0023,0
4271753,0.9746,-0.0065,0.0043,-0.2239,0.0154,-0.0093,0.0085,0
4271920,0.9746,-0.0065,0.0043,-0.2239,-0.0022,0.0094,0.0156,0
4272087,0.9746,-0.0065,0.0043,-0.2239,0.0016,0.0016,0.0303,0
4272253,0.9746,-0.0065,0.0043,-0.2239,-0.0019,0.0015,0.0013,0
4272420,0.9746,-0.0065,0.0043,-0.2239,0.0002,0.0019,0.0074,0
4272587,0.9746,-0.0065,0.0043,-0.2239,-0.0015,-0.0039,0.0033,0
4272753,0.9746,-0.0065,0.0043,-0.2239,0.0077,-0.0022,-0.0028,0
4272920,0.9746,-0.0065,0.0043,-0.2239,0.0035,0.0020,0.0226,0
4273087,0.9746,-0.0065,0.0043,-0.2240,0.0008,-0.0108,0.0105,0
4273253,0.9746,-0.0065,0.0043,-0.2239,0.0096,-0.0004,0.0227,0
4273420,0.9746,-0.0065,0.0043,-0.2240,-0.0090,-0.0003,0.0028,0
4273587,0.9746,-0.0065,0.0043,-0.2240,-0.0130,0.0021,0.0160,0
4273753,0.9746,-0.0065,0.0043,-0.2240,0.0069,-0.0004,0.0155,0
4273920,0.9746,-0.0065,0.0043,-0.2240,0.0105,-0.0039,0.0005,0
4274087,0.9746,-0.0065,0.0043,-0.2240,-0.0019,0.0001,0.0197,0
4274253,0.9746,-0.0065,0.0043,-0.2240,-0.0085,0.0032,0.0041,0
4274420,0.9746,-0.0065,0.0043,-0.2240,-0.0055,0.0063,0.0077,0
4274587,0.9746,-0.0065,0.0043,-0.2240,0.0114,0.0174,0.0015,0
