DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:13:05.736,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
443903,0.9135,-0.0104,0.0039,0.4066,0.0020,0.0017,-0.0819,0
444069,0.9135,-0.0104,0.0039,0.4066,-0.0117,-0.0076,-0.0866,0
444236,0.9135,-0.0104,0.0039,0.4066,0.0060,-0.0049,-0.0958,0
444403,0.9136,-0.0104,0.0040,0.4066,-0.0023,-0.0070,-0.0754,0
444569,0.9136,-0.0104,0.0039,0.4066,-0.0009,0.0008,-0.0754,0
444736,0.9136,-0.0104,0.0039,0.4066,-0.0131,-0.0039,-0.0733,0
444903,0.9136,-0.0104,0.0039,0.4066,-0.0049,0.0018,-0.0799,0
445069,0.9136,-0.0104,0.0039,0.4066,0.0044,0.0044,-0.0858,0
445236,0.9136,-0.0104,0.0039,0.4066,-0.0020,0.0004,-0.0948,0
445403,0.9135,-0.0104,0.0039,0.4066,0.0063,0.0018,-0.1053,0
445569,0.9135,-0.0104,0.0039,0.4066,-0.0004,0.0053,-0.0918,0
445736,0.9136,-0.0104,0.0039,0.4066,0.0002,-0.0079,-0.1003,0
445903,0.9136,-0.0104,0.0039,0.4066,0.0140,-0.0001,-0.0874,0
446069,0.9136,-0.0104,0.0039,0.4066,0.0047,0.0006,-0.0862,0
446236,0.9136,-0.0104,0.0039,0.4066,-0.0056,0.0128,-0.0782,0
446403,0.9136,-0.0104,0.0039,0.4066,-0.0023,-0.0071,-0.1049,0
446570,0.9136,-0.0104,0.0039,0.4066,-0.0129,0.0057,-0.0986,0
446736,0.9136,-0.0104,0.0039,0.4066,-0.0032,-0.0137,-0.0924,0
446903,0.9136,-0.0104,0.0039,0.4066,0.0142,0.0044,-0.0905,0
447070,0.9136,-0.0104,0.0039,0.4066,0.0010,-0.0051,-0.0911,0
447236,0.9136,-0.0104,0.0039,0.4066,0.0008,-0.0105,-0.0810,0
447403,0.9136,-0.0104,0.0039,0.4066,0.0159,0.0072,-0.0944,0
447570,0.9136,-0.0104,0.0039,0.4066,0.0023,-0.0009,-0.0864,0
447736,0.9136,-0.0104,0.0039,0.4066,0.0105,0.0014,-0.0981,0
447903,0.9136,-0.0104,0.0039,0.4066,-0.0072,-0.0055,-0.0903,0
448070,0.9136,-0.0104,0.0039,0.4066,-0.0089,-0.0029,-0.0799,0
448236,0.9136,-0.0104,0.0039,0.4066,-0.0111,0.0035,-0.0676,0
448403,0.9136,-0.0104,0.0039,0.4066,0.0016,0.0062,-0.0771,0
448570,0.9136,-0.0104,0.0040,0.4066,0.0012,-0.0156,-0.0861,0
448736,0.9136,-0.0104,0.0040,0.4066,0.0075,-0.0094,-0.0955,0
448903,0.9136,-0.0104,0.0040,0.4066,-0.0025,-0.0006,-0.0905,0
449070,0.9136,-0.0104,0.0040,0.4066,-0.0132,-0.0012,-0.0759,0
449236,0.9136,-0.0104,0.0040,0.4066,0.0003,0.0003,-0.0921,0
449403,0.9135,-0.0104,0.0040,0.4066,-0.0210,-0.0084,-0.0987,0
449570,0.9135,-0.0104,0.0040,0.4066,-0.0085,-0.0024,-0.0716,0
449736,0.9136,-0.0104,0.0040,0.4066,-0.0049,-0.0063,-0.0964,0
449903,0.9136,-0.0104,0.0040,0.4066,-0.0041,0.0054,-0.0904,0
450070,0.9136,-0.0104,0.0040,0.4066,0.0025,0.0077,-0.1088,0
450236,0.9135,-0.0104,0.0040,0.4066,0.0018,0.0050,-0.0949,0
450403,0.9135,-0.0104,0.0040,0.4066,-0.0063,-0.0076,-0.0752,0
450570,0.9135,-0.0104,0.0040,0.4066,0.0015,-0.0167,-0.1035,0
450736,0.9136,-0.0104,0.0040,0.4066,-0.0023,-0.0013,-0.0698,0
450903,0.9136,-0.0104,0.0040,0.4066,-0.0004,-0.0041,-0.0950,0
451070,0.9136,-0.0104,0.0040,0.4066,0.0035,-0.0093,-0.1065,0
451236,0.9136,-0.0104,0.0040,0.4066,0.0016,-0.0093,-0.0942,0
451403,0.9136,-0.0104,0.0040,0.4065,-0.0057,0.0028,-0.0073,0
451570,0.9136,-0.0104,0.0040,0.4065,0.0224,-0.0020,-0.1440,0
451736,0.9136,-0.0104,0.0040,0.4065,0.0221,0.0002,-0.0235,0
451903,0.9136,-0.0104,0.0040,0.4065,0.0064,0.0064,-0.1265,0
452070,0.9136,-0.0104,0.0040,0.4065,-0.0122,-0.0157,-0.0770,0
452236,0.9136,-0.0104,0.0040,0.4066,-0.0007,0.0010,-0.1056,0
452403,0.9136,-0.0104,0.0040,0.4066,-0.0112,-0.0090,-0.0828,0
452570,0.9136,-0.0104,0.0040,0.4066,0.0000,0.0045,-0.0601,0
452736,0.9136,-0.0104,0.0040,0.4066,-0.0043,-0.0103,-0.0987,0
