DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.341,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4152974,0.8498,0.0042,-0.0028,0.5271,0.4254,-0.2955,1.8953,0
4153141,0.8498,0.0040,-0.0028,0.5271,0.4097,-0.2873,1.8936,0
4153307,0.8498,0.0039,-0.0029,0.5270,0.4096,-0.2938,1.8659,0
4153474,0.8499,0.0038,-0.0030,0.5270,0.3948,-0.2893,1.9451,0
4153641,0.8499,0.0037,-0.0030,0.5269,0.3932,-0.2901,1.9004,0
4153807,0.8499,0.0035,-0.0031,0.5269,0.4120,-0.2771,1.8947,0
4153974,0.8500,0.0034,-0.0032,0.5268,0.4013,-0.2817,1.8837,0
4154141,0.8500,0.0033,-0.0032,0.5268,0.3898,-0.2702,1.8820,0
4154307,0.8500,0.0032,-0.0032,0.5268,0.3869,-0.2644,1.8929,0
4154474,0.8500,0.0030,-0.0033,0.5267,0.3786,-0.2713,1.9091,0
4154641,0.8501,0.0029,-0.0034,0.5267,0.3753,-0.2740,1.9147,0
4154807,0.8501,0.0028,-0.0034,0.5266,0.3908,-0.2720,1.8611,0
4154974,0.8501,0.0026,-0.0034,0.5266,0.3851,-0.2759,1.9551,0
4155141,0.8502,0.0025,-0.0035,0.5265,0.3726,-0.2755,1.8845,0
4155307,0.8502,0.0024,-0.0036,0.5265,0.3755,-0.2889,1.8870,0
4155474,0.8502,0.0023,-0.0036,0.5264,0.3778,-0.2728,1.9186,0
4155641,0.8502,0.0022,-0.0037,0.5264,0.3797,-0.2620,1.8699,0
4155807,0.8503,0.0021,-0.0037,0.5263,0.3662,-0.2411,1.9311,0
4155974,0.8503,0.0019,-0.0038,0.5262,0.3699,-0.2503,1.9207,0
4156141,0.8504,0.0018,-0.0038,0.5262,0.3616,-0.2547,1.9033,0
4156307,0.8504,0.0017,-0.0039,0.5261,0.3573,-0.2560,1.9239,0
4156474,0.8504,0.0016,-0.0039,0.5261,0.3580,-0.2534,1.9180,0
4156641,0.8505,0.0014,-0.0040,0.5260,0.3625,-0.2689,1.8950,0
4156807,0.8505,0.0013,-0.0040,0.5260,0.3586,-0.2544,1.9138,0
4156974,0.8505,0.0012,-0.0041,0.5259,0.3538,-0.2456,1.8707,0
4157141,0.8506,0.0011,-0.0041,0.5259,0.3446,-0.2549,1.9249,0
4157307,0.8506,0.0010,-0.0041,0.5258,0.3328,-0.2511,1.9205,0
4157474,0.8506,0.0008,-0.0042,0.5258,0.3279,-0.2505,1.9020,0
4157641,0.8506,0.0007,-0.0042,0.5257,0.3408,-0.2540,1.9016,0
4157807,0.8507,0.0006,-0.0043,0.5257,0.3383,-0.2368,1.8960,0
4157974,0.8507,0.0005,-0.0043,0.5256,0.3350,-0.2348,1.8980,0
4158141,0.8507,0.0004,-0.0044,0.5256,0.3226,-0.2325,1.9008,0
4158307,0.8508,0.0003,-0.0044,0.5255,0.3196,-0.2445,1.9020,0
4158474,0.8508,0.0002,-0.0045,0.5254,0.3305,-0.2221,1.9122,0
4158641,0.8508,0.0000,-0.0045,0.5254,0.3355,-0.2271,1.9197,0
4158807,0.8509,-0.0001,-0.0046,0.5253,0.3154,-0.2408,1.8989,0
4158974,0.8509,-0.0002,-0.0046,0.5253,0.3208,-0.2341,1.9297,0
4159141,0.8510,-0.0003,-0.0047,0.5252,0.3095,-0.2343,1.8925,0
4159307,0.8510,-0.0004,-0.0048,0.5251,0.3149,-0.2237,1.8951,0
4159474,0.8510,-0.0005,-0.0048,0.5251,0.2938,-0.2151,1.9230,0
4159641,0.8511,-0.0007,-0.0048,0.5250,0.3013,-0.2247,1.8644,0
4159807,0.8511,-0.0008,-0.0049,0.5249,0.3130,-0.2357,1.9329,0
4159974,0.8511,-0.0009,-0.0049,0.5249,0.3028,-0.2276,1.9113,0
4160141,0.8512,-0.0010,-0.0050,0.5248,0.3002,-0.2223,1.8960,0
4160307,0.8512,-0.0011,-0.0051,0.5248,0.2931,-0.2199,1.9246,0
4160474,0.8513,-0.0012,-0.0051,0.5247,0.3042,-0.2144,1.8950,0
4160641,0.8513,-0.0013,-0.0052,0.5247,0.2878,-0.2164,1.9167,0
4160807,0.8513,-0.0014,-0.0052,0.5247,0.2868,-0.2178,1.9075,0
4160974,0.8513,-0.0015,-0.0053,0.5246,0.2753,-0.2256,1.9178,0
4161141,0.8514,-0.0016,-0.0053,0.5245,0.2804,-0.2177,1.8879,0
4161307,0.8514,-0.0017,-0.0054,0.5245,0.3007,-0.2241,1.8763,0
4161474,0.8514,-0.0018,-0.0055,0.5244,0.2937,-0.2101,1.9182,0
4161641,0.8515,-0.0019,-0.0055,0.5244,0.2808,-0.2200,1.9262,0
4161807,0.8515,-0.0020,-0.0056,0.5243,0.2630,-0.2092,1.8926,0
4161974,0.8516,-0.0020,-0.0056,0.5242,0.2754,-0.2120,1.9149,0
4162141,0.8516,-0.0021,-0.0057,0.5242,0.2807,-0.2243,1.8951,0
4162307,0.8517,-0.0022,-0.0058,0.5241,0.2886,-0.1964,1.8634,0
4162474,0.8517,-0.0023,-0.0058,0.5240,0.2875,-0.1918,1.9148,0
4162641,0.8517,-0.0024,-0.0059,0.5240,0.2580,-0.2005,1.9236,0
4162807,0.8518,-0.0025,-0.0059,0.5239,0.2447,-0.2151,1.9130,0
4162974,0.8518,-0.0026,-0.0060,0.5239,0.2539,-0.2072,1.9110,0
4163141,0.8518,-0.0027,-0.0060,0.5238,0.2577,-0.1846,1.8963,0
4163307,0.8519,-0.0028,-0.0061,0.5237,0.2527,-0.1978,1.9256,0
4163474,0.8519,-0.0028,-0.0062,0.5236,0.2642,-0.2084,1.9162,0
4163641,0.8520,-0.0029,-0.0062,0.5236,0.2564,-0.2078,1.9125,0
4163807,0.8520,-0.0030,-0.0063,0.5235,0.2634,-0.1816,1.9217,0
4163974,0.8520,-0.0030,-0.0064,0.5234,0.2650,-0.1744,1.8833,0
