DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4257055,0.6068,-0.0023,-0.0094,0.7948,-0.0373,0.1347,-0.0003,0
4257221,0.6068,-0.0023,-0.0094,0.7948,-0.0313,0.1215,-0.0269,0
4257388,0.6068,-0.0023,-0.0095,0.7948,-0.0383,0.1276,0.0409,0
4257555,0.6068,-0.0022,-0.0095,0.7948,-0.0382,0.1270,-0.0282,0
4257721,0.6068,-0.0022,-0.0095,0.7948,-0.0469,0.1354,0.0112,0
4257888,0.6068,-0.0022,-0.0095,0.7948,-0.0351,0.1360,0.0179,0
4258055,0.6068,-0.0022,-0.0095,0.7948,-0.0381,0.1298,-0.0029,0
4258221,0.6068,-0.0022,-0.0095,0.7948,-0.0454,0.1240,-0.0035,0
4258388,0.6068,-0.0022,-0.0095,0.7948,-0.0428,0.1211,0.0234,0
4258555,0.6068,-0.0022,-0.0095,0.7948,-0.0379,0.1294,0.0177,0
4258721,0.6067,-0.0022,-0.0095,0.7948,-0.0324,0.1282,0.0211,0
4258888,0.6067,-0.0022,-0.0095,0.7949,-0.0314,0.1298,-0.0100,0
4259055,0.6067,-0.0022,-0.0095,0.7949,-0.0384,0.1155,-0.0012,0
4259221,0.6067,-0.0021,-0.0095,0.7949,-0.0367,0.1145,0.0285,0
4259388,0.6067,-0.0021,-0.0095,0.7949,-0.0376,0.1152,-0.0007,0
4259555,0.6067,-0.0021,-0.0095,0.7949,-0.0275,0.1264,0.0187,0
4259721,0.6067,-0.0021,-0.0095,0.7949,-0.0121,0.1207,0.0050,0
4259888,0.6067,-0.0021,-0.0095,0.7949,-0.0400,0.1452,-0.0018,0
4260055,0.6067,-0.0021,-0.0095,0.7949,-0.0509,0.1359,0.0039,0
4260221,0.6067,-0.0020,-0.0096,0.7949,-0.0286,0.1337,0.0072,0
4260388,0.6067,-0.0020,-0.0096,0.7949,-0.0268,0.1304,0.0244,0
4260555,0.6066,-0.0020,-0.0096,0.7949,-0.0376,0.1132,0.0076,0
4260721,0.6066,-0.0020,-0.0096,0.7949,-0.0399,0.1221,0.0059,0
4260888,0.6066,-0.0020,-0.0096,0.7949,-0.0364,0.1143,0.0257,0
4261055,0.6066,-0.0019,-0.0096,0.7949,-0.0185,0.1213,0.0221,0
4261221,0.6066,-0.0019,-0.0096,0.7949,-0.0462,0.1127,0.0148,0
4261388,0.6066,-0.0019,-0.0096,0.7949,-0.0381,0.1178,0.0143,0
4261555,0.6066,-0.0019,-0.0097,0.7949,-0.0364,0.1157,0.0008,0
4261721,0.6066,-0.0019,-0.0097,0.7950,-0.0252,0.1164,0.0319,0
4261888,0.6066,-0.0018,-0.0097,0.7950,-0.0251,0.1106,0.0056,0
4262055,0.6066,-0.0018,-0.0097,0.7950,-0.0396,0.1181,0.0155,0
4262221,0.6066,-0.0018,-0.0097,0.7950,-0.0264,0.1244,0.0369,0
4262388,0.6066,-0.0018,-0.0097,0.7950,-0.0251,0.1160,-0.0047,0
4262555,0.6066,-0.0017,-0.0097,0.7950,-0.0313,0.1107,0.0008,0
4262721,0.6066,-0.0017,-0.0098,0.7950,-0.0410,0.1122,0.0160,0
4262888,0.6066,-0.0017,-0.0098,0.7950,-0.0307,0.1181,0.0207,0
4263055,0.6066,-0.0016,-0.0098,0.7950,-0.0267,0.1257,0.0033,0
4263221,0.6065,-0.0016,-0.0098,0.7950,-0.0269,0.1159,0.0164,0
4263388,0.6065,-0.0016,-0.0099,0.7950,-0.0334,0.1076,0.0225,0
4263555,0.6065,-0.0016,-0.0099,0.7950,-0.0547,0.1079,0.0342,0
4263721,0.6065,-0.0015,-0.0099,0.7950,-0.0415,0.1127,0.0018,0
4263888,0.6066,-0.0015,-0.0099,0.7950,-0.0260,0.1119,0.0016,0
4264055,0.6066,-0.0015,-0.0100,0.7949,-0.0333,0.1085,-0.0059,0
4264221,0.6066,-0.0015,-0.0100,0.7950,-0.0175,0.1187,-0.0262,0
4264388,0.6066,-0.0014,-0.0100,0.7950,-0.0181,0.1163,0.0408,0
4264555,0.6066,-0.0014,-0.0100,0.7950,-0.0325,0.1041,0.0212,0
4264721,0.6066,-0.0014,-0.0100,0.7949,-0.0368,0.0963,0.0089,0
4264888,0.6066,-0.0013,-0.0101,0.7949,-0.0380,0.0936,0.0208,0
4265055,0.6066,-0.0013,-0.0101,0.7949,-0.0352,0.0998,0.0068,0
4265221,0.6066,-0.0013,-0.0101,0.7949,-0.0382,0.0929,0.0516,0
4265388,0.6067,-0.0012,-0.0102,0.7949,-0.0351,0.1009,0.0084,0
4265555,0.6067,-0.0012,-0.0102,0.7949,-0.0157,0.1087,0.0232,0
4265721,0.6067,-0.0011,-0.0102,0.7948,-0.0133,0.1053,0.0322,0
4265888,0.6067,-0.0011,-0.0103,0.7948,-0.0175,0.1157,-0.0044,0
4266055,0.6068,-0.0010,-0.0103,0.7948,-0.0439,0.1082,0.0417,0
4266221,0.6068,-0.0010,-0.0104,0.7948,-0.0336,0.0966,-0.0280,0
4266388,0.6068,-0.0009,-0.0104,0.7948,-0.0260,0.1105,0.0185,0
4266555,0.6068,-0.0009,-0.0105,0.7948,-0.0180,0.1163,-0.0053,0
4266721,0.6068,-0.0009,-0.0105,0.7948,-0.0162,0.1166,-0.0100,0
4266888,0.6068,-0.0008,-0.0106,0.7948,-0.0266,0.1005,0.0130,0
4267055,0.6068,-0.0007,-0.0106,0.7947,-0.0274,0.0844,-0.0246,0
4267221,0.6069,-0.0007,-0.0106,0.7947,-0.0340,0.0952,0.0215,0
4267388,0.6069,-0.0007,-0.0107,0.7947,-0.0454,0.0971,0.0008,0
4267555,0.6069,-0.0006,-0.0107,0.7947,-0.0289,0.1002,-0.0018,0
4267721,0.6070,-0.0006,-0.0108,0.7947,-0.0084,0.1038,0.0406,0
4267888,0.6070,-0.0006,-0.0108,0.7946,-0.0143,0.1004,-0.0285,0
4268055,0.6070,-0.0005,-0.0108,0.7946,-0.0385,0.1002,0.0321,0
4268221,0.6070,-0.0005,-0.0108,0.7946,-0.0424,0.0744,-0.0130,0
4268388,0.6070,-0.0004,-0.0109,0.7946,-0.0307,0.0923,0.0114,0
4268555,0.6071,-0.0004,-0.0109,0.7946,-0.0216,0.0878,0.0151,0
4268721,0.6071,-0.0004,-0.0110,0.7946,-0.0154,0.0928,0.0032,0
4268888,0.6071,-0.0003,-0.0110,0.7946,-0.0309,0.0857,0.0320,0
4269055,0.6071,-0.0003,-0.0110,0.7946,-0.0428,0.0918,-0.0277,0
4269221,0.6071,-0.0002,-0.0110,0.7946,-0.0923,0.0795,0.0582,0
4269388,0.6071,-0.0002,-0.0111,0.7946,-0.0523,0.0656,-0.0677,0
4269555,0.9999,-0.0091,-0.0067,-0.0001,0.0612,-0.0626,0.0764,0
4269721,0.9999,-0.0093,-0.0069,-0.0001,0.0936,-0.0819,-0.0313,0
4269888,0.9999,-0.0094,-0.0070,-0.0001,0.1400,-0.0446,-0.0484,0
4270055,0.9999,-0.0093,-0.0069,-0.0002,0.1272,-0.0066,0.0215,0
4270221,0.9999,-0.0089,-0.0067,-0.0002,0.0967,0.0201,-0.0852,0
